preset,group,group_field,card_count,main_card_count,trigger_card_count,non_trigger_card_count,g_zone_card_count,main_capacity,trigger_capacity,non_trigger_capacity,g_zone_capacity,basic_50_card_main,main_with_16_triggers_34_non_triggers,ride_deck_grade_0_1_2_3_choice,g_zone_16,main_50_any_mix_digits,main_50_any_mix_scientific,main_50_exact_16_triggers_digits,main_50_exact_16_triggers_scientific,ride_deck_choices_exact,issues
v_reboot,ดาร์ค อิลเรกูลาร์ส,clan,59,59,9,50,0,236,36,200,0,True,True,True,False,31,4.741e+30,29,2.085e+28,7956,
v_reboot,ทาจิคาเสะ,clan,44,44,11,33,0,176,44,132,0,True,True,True,False,26,5.230e+25,25,3.464e+24,1760,
v_reboot,นารุคามิ,clan,54,54,11,43,0,216,44,172,0,True,True,True,False,30,1.471e+29,28,3.983e+27,6720,
v_reboot,นุบาทามะ,clan,34,34,5,29,0,136,20,116,0,True,True,True,False,22,2.612e+21,19,4.375e+18,1400,
v_reboot,มุราคุโมะ,clan,59,59,11,48,0,236,44,192,0,True,True,True,False,31,4.741e+30,29,7.861e+28,6912,
v_reboot,รอยัล พาลาดิน,clan,75,75,9,66,0,300,36,264,0,True,True,True,False,35,6.748e+34,32,4.741e+31,24024,
v_reboot,ลิงค์โจ๊กเกอร์,clan,70,70,13,57,0,280,52,228,0,True,True,True,False,34,4.209e+33,32,6.821e+31,19008,
v_reboot,สไปค์ บราเธอร์ส,clan,44,44,9,35,0,176,36,140,0,True,True,True,False,26,5.230e+25,25,1.422e+24,3432,
v_reboot,อควอฟอร์ซ,clan,47,47,11,36,0,188,44,144,0,True,True,True,False,27,6.674e+26,26,3.451e+25,2700,
v_reboot,เกรท เนเจอร์,clan,24,24,7,17,0,96,28,68,0,True,True,True,False,16,3.273e+15,15,3.691e+14,144,
v_reboot,เกียร์โครนิเคิล,clan,22,22,5,17,0,88,20,68,0,True,True,True,False,14,9.553e+13,13,3.618e+12,90,
v_reboot,เครย์เอเลเมนทัล,clan,1,1,0,1,0,4,0,4,0,False,False,False,False,1,0,1,0,0,main_capacity_below_50;trigger_capacity_below_16;non_trigger_capacity_below_34;missing_ride_grade_0_1_2_3
v_reboot,เจเนซิส,clan,37,37,10,27,0,148,40,108,0,True,True,True,False,23,6.710e+22,22,5.687e+21,1080,
v_reboot,เนโอ เนคต้า,clan,24,24,5,19,0,96,20,76,0,True,True,True,False,16,3.273e+15,14,6.986e+13,432,
v_reboot,เบอร์มิวด้า ไทรแองเกิล,clan,64,64,9,55,0,256,36,220,0,True,True,True,False,33,1.181e+32,30,2.880e+29,20736,
v_reboot,เพลมูน,clan,59,59,11,48,0,236,44,192,0,True,True,True,False,31,4.741e+30,29,7.861e+28,6936,
v_reboot,เมก้าโคโลนี่,clan,44,44,9,35,0,176,36,140,0,True,True,True,False,26,5.230e+25,25,1.422e+24,3240,
v_reboot,แกรนบลู,clan,44,44,9,35,0,176,36,140,0,True,True,True,False,26,5.230e+25,25,1.422e+24,3360,
v_reboot,แองเจิล ฟิทเธอร์,clan,22,22,5,17,0,88,20,68,0,True,True,True,False,14,9.553e+13,13,3.618e+12,144,
v_reboot,โกลด์ พาลาดิน,clan,40,40,9,31,0,160,36,124,0,True,True,True,False,25,1.337e+24,23,5.824e+22,968,
v_reboot,โนว่า เกรปเปอร์,clan,58,58,11,47,0,232,44,188,0,True,True,True,False,31,2.420e+30,29,4.430e+28,13650,
v_reboot,โอราเคิล ทิงค์ แทงค์,clan,78,78,13,65,0,312,52,260,0,True,True,True,False,36,3.298e+35,34,2.706e+33,37800,
v_reboot,ไดเมนชั่น โพลิส,clan,44,44,9,35,0,176,36,140,0,True,True,True,False,26,5.230e+25,25,1.422e+24,2464,
v_shinemon_if,Unknown,unknown,21,8,0,8,0,32,0,32,0,False,False,False,False,1,0,1,0,0,main_capacity_below_50;trigger_capacity_below_16;non_trigger_capacity_below_34;missing_ride_grade_0_1_2_3
v_shinemon_if,คาเงโร่,clan,26,24,7,17,2,96,28,68,8,True,True,True,False,16,3.273e+15,15,3.691e+14,150,
v_shinemon_if,ชาโดว์ พาลาดิน,clan,50,48,11,37,2,192,44,148,8,True,True,True,False,28,1.507e+27,26,7.141e+25,2970,
v_shinemon_if,ซู,nation,1,0,0,0,1,0,0,0,4,False,False,False,False,1,0,1,0,0,main_capacity_below_50;trigger_capacity_below_16;non_trigger_capacity_below_34;missing_ride_grade_0_1_2_3
v_shinemon_if,ดราก้อนเอมไพร์,nation,1,0,0,0,1,0,0,0,4,False,False,False,False,1,0,1,0,0,main_capacity_below_50;trigger_capacity_below_16;non_trigger_capacity_below_34;missing_ride_grade_0_1_2_3
