series,count
[V-LTD03] VG-V-LTD03 : V Live Action Trial Deck 03,18
[V-LTD04] VG-V-LTD04 : V Live Action Trial Deck 04,18
[V-LTD05] VG-V-LTD05 : V Live Action Trial Deck 05,19
[V-PR] V Promo Card,247
[V-SS01] VG-V-SS01 : PREMIUM COLLECTION 2019,54
[V-SS07] VG-V-SS07 : PREMIUM COLLECTION 2020,57
[V-TB01] V Title Booster 01: BanG Dream! FILM LIVE,75
[V-TD01] VG-V-TD01 : Aichi Sendou,15
[V-TD02] VG-V-TD02 : Toshiki Kai,15
[V-TD03] VG-V-TD03 : Leon Soryu,14
[V-TD04] VG-V-TD04 : Ren Suzugamori,15
[V-TD05] VG-V-TD05 : Misaki Tokura,14
[V-TD06] VG-V-TD06 : Naoki Ishida,14
[V-TD07] VG-V-Trial Deck 07 Kouji Ibuki,14
[V-TD08] VG-V-TD08 : Schokolade Melody,19
[V-TD09] V Trial Deck 09: Shinemon Nitta,17
[V-TD10] V Trial Deck 10: Chronojet,15
[V-TD11] V Trial Deck 11: Altmile,15
[V-TD12] V Trial Deck 12: Ahsha,17
[V-TPR] V-TH Promo Card,37
